Event_name,Drug_name,MedDRA_concept_id,MedDRA_concept_name,MedDRA_concept_class_id,ATC_concept_id,ATC_concept_name,ATC_concept_class_id,SNOMED_concept_id,SNOMED_concept_name,SNOMED_concept_class_id,RxNorm_concept_id,RxNorm_concept_name,RxNorm_concept_class_id,Classification,Grade,Control,Level_of_epidemiological_evidence,Population
acute kidney injury,loperamide,36315575,Blood creatinine increased,PT,21600646,loperamide,ATC 5th,NA,NA,NA,991876,Loperamide,Ingredient,NC,NC2,N,V,NA
acute kidney injury,mebendazole,36315575,Blood creatinine increased,PT,21604941,mebendazole,ATC 5th,NA,NA,NA,1794280,Mebendazole,Ingredient,NC,NC2,N,V,NA
acute kidney injury,methylphenidate,36315575,Blood creatinine increased,PT,21604757,methylphenidate,ATC 5th,NA,NA,NA,705944,Methylphenidate,Ingredient,NC,NC2,N,V,NA
acute kidney injury,montelukast,36315575,Blood creatinine increased,PT,21603356,montelukast,ATC 5th,NA,NA,NA,1154161,montelukast,Ingredient,NC,NC2,N,V,NA
acute kidney injury,ibuprofen,36315595,Creatinine renal clearance decreased,PT,21603967,ibuprofen,ATC 5th,NA,NA,NA,1177480,Ibuprofen,Ingredient,PC,PC1,P,II,B
acute kidney injury,quinine,36315595,Creatinine renal clearance decreased,PT,21604897,quinine,ATC 5th,NA,NA,NA,1760616,Quinine,Ingredient,PC,PC2,P,II,A
acute kidney injury,cyproterone,36315595,Creatinine renal clearance decreased,PT,21602615,cyproterone,ATC 5th,NA,NA,NA,19010792,Cyproterone,Ingredient,NC,NC2,N,V,NA
acute kidney injury,domperidone,36315595,Creatinine renal clearance decreased,PT,21600486,domperidone,ATC 5th,NA,NA,NA,19037833,Domperidone,Ingredient,NC,NC2,N,V,NA
acute kidney injury,fluticasone,36315595,Creatinine renal clearance decreased,PT,21603288,fluticasone,ATC 5th,NA,NA,NA,1149380,fluticasone,Ingredient,NC,NC2,N,V,NA
acute kidney injury,loperamide,36315595,Creatinine renal clearance decreased,PT,21600646,loperamide,ATC 5th,NA,NA,NA,991876,Loperamide,Ingredient,NC,NC2,N,V,NA
acute kidney injury,mebendazole,36315595,Creatinine renal clearance decreased,PT,21604941,mebendazole,ATC 5th,NA,NA,NA,1794280,Mebendazole,Ingredient,NC,NC2,N,V,NA
acute kidney injury,methylphenidate,36315595,Creatinine renal clearance decreased,PT,21604757,methylphenidate,ATC 5th,NA,NA,NA,705944,Methylphenidate,Ingredient,NC,NC2,N,V,NA
acute kidney injury,montelukast,36315595,Creatinine renal clearance decreased,PT,21603356,montelukast,ATC 5th,NA,NA,NA,1154161,montelukast,Ingredient,NC,NC2,N,V,NA
acute kidney injury,ibuprofen,36315611,Inulin renal clearance decreased,PT,21603967,ibuprofen,ATC 5th,NA,NA,NA,1177480,Ibuprofen,Ingredient,PC,PC1,P,II,B
acute kidney injury,quinine,36315611,Inulin renal clearance decreased,PT,21604897,quinine,ATC 5th,NA,NA,NA,1760616,Quinine,Ingredient,PC,PC2,P,II,A
acute kidney injury,cyproterone,36315611,Inulin renal clearance decreased,PT,21602615,cyproterone,ATC 5th,NA,NA,NA,19010792,Cyproterone,Ingredient,NC,NC2,N,V,NA
acute kidney injury,domperidone,36315611,Inulin renal clearance decreased,PT,21600486,domperidone,ATC 5th,NA,NA,NA,19037833,Domperidone,Ingredient,NC,NC2,N,V,NA
acute kidney injury,fluticasone,36315611,Inulin renal clearance decreased,PT,21603288,fluticasone,ATC 5th,NA,NA,NA,1149380,fluticasone,Ingredient,NC,NC2,N,V,NA
acute kidney injury,loperamide,36315611,Inulin renal clearance decreased,PT,21600646,loperamide,ATC 5th,NA,NA,NA,991876,Loperamide,Ingredient,NC,NC2,N,V,NA
acute kidney injury,mebendazole,36315611,Inulin renal clearance decreased,PT,21604941,mebendazole,ATC 5th,NA,NA,NA,1794280,Mebendazole,Ingredient,NC,NC2,N,V,NA
acute kidney injury,methylphenidate,36315611,Inulin renal clearance decreased,PT,21604757,methylphenidate,ATC 5th,NA,NA,NA,705944,Methylphenidate,Ingredient,NC,NC2,N,V,NA
acute kidney injury,montelukast,36315611,Inulin renal clearance decreased,PT,21603356,montelukast,ATC 5th,NA,NA,NA,1154161,montelukast,Ingredient,NC,NC2,N,V,NA
acute kidney injury,ibuprofen,37019353,Renal cortical necrosis,PT,21603967,ibuprofen,ATC 5th,40480627,Renal cortical necrosis,Clinical Finding,1177480,Ibuprofen,Ingredient,PC,PC1,P,II,B
acute kidney injury,quinine,37019353,Renal cortical necrosis,PT,21604897,quinine,ATC 5th,40480627,Renal cortical necrosis,Clinical Finding,1760616,Quinine,Ingredient,PC,PC2,P,II,A
acute kidney injury,cyproterone,37019353,Renal cortical necrosis,PT,21602615,cyproterone,ATC 5th,40480627,Renal cortical necrosis,Clinical Finding,19010792,Cyproterone,Ingredient,NC,NC2,N,V,NA
acute kidney injury,domperidone,37019353,Renal cortical necrosis,PT,21600486,domperidone,ATC 5th,40480627,Renal cortical necrosis,Clinical Finding,19037833,Domperidone,Ingredient,NC,NC2,N,V,NA
acute kidney injury,fluticasone,37019353,Renal cortical necrosis,PT,21603288,fluticasone,ATC 5th,40480627,Renal cortical necrosis,Clinical Finding,1149380,fluticasone,Ingredient,NC,NC2,N,V,NA
acute kidney injury,loperamide,37019353,Renal cortical necrosis,PT,21600646,loperamide,ATC 5th,40480627,Renal cortical necrosis,Clinical Finding,991876,Loperamide,Ingredient,NC,NC2,N,V,NA
acute kidney injury,mebendazole,37019353,Renal cortical necrosis,PT,21604941,mebendazole,ATC 5th,40480627,Renal cortical necrosis,Clinical Finding,1794280,Mebendazole,Ingredient,NC,NC2,N,V,NA
acute kidney injury,methylphenidate,37019353,Renal cortical necrosis,PT,21604757,methylphenidate,ATC 5th,40480627,Renal cortical necrosis,Clinical Finding,705944,Methylphenidate,Ingredient,NC,NC2,N,V,NA
acute kidney injury,montelukast,37019353,Renal cortical necrosis,PT,21603356,montelukast,ATC 5th,40480627,Renal cortical necrosis,Clinical Finding,1154161,montelukast,Ingredient,NC,NC2,N,V,NA
acute kidney injury,ibuprofen,35506541,Renal papillary necrosis,PT,21603967,ibuprofen,ATC 5th,444409,Papillary necrosis,Clinical Finding,1177480,Ibuprofen,Ingredient,PC,PC1,P,II,B
acute kidney injury,quinine,35506541,Renal papillary necrosis,PT,21604897,quinine,ATC 5th,444409,Papillary necrosis,Clinical Finding,1760616,Quinine,Ingredient,PC,PC2,P,II,A
acute kidney injury,cyproterone,35506541,Renal papillary necrosis,PT,21602615,cyproterone,ATC 5th,444409,Papillary necrosis,Clinical Finding,19010792,Cyproterone,Ingredient,NC,NC2,N,V,NA
acute kidney injury,domperidone,35506541,Renal papillary necrosis,PT,21600486,domperidone,ATC 5th,444409,Papillary necrosis,Clinical Finding,19037833,Domperidone,Ingredient,NC,NC2,N,V,NA
acute kidney injury,fluticasone,35506541,Renal papillary necrosis,PT,21603288,fluticasone,ATC 5th,444409,Papillary necrosis,Clinical Finding,1149380,fluticasone,Ingredient,NC,NC2,N,V,NA
acute kidney injury,loperamide,35506541,Renal papillary necrosis,PT,21600646,loperamide,ATC 5th,444409,Papillary necrosis,Clinical Finding,991876,Loperamide,Ingredient,NC,NC2,N,V,NA
acute kidney injury,mebendazole,35506541,Renal papillary necrosis,PT,21604941,mebendazole,ATC 5th,444409,Papillary necrosis,Clinical Finding,1794280,Mebendazole,Ingredient,NC,NC2,N,V,NA
acute kidney injury,methylphenidate,35506541,Renal papillary necrosis,PT,21604757,methylphenidate,ATC 5th,444409,Papillary necrosis,Clinical Finding,705944,Methylphenidate,Ingredient,NC,NC2,N,V,NA
acute kidney injury,montelukast,35506541,Renal papillary necrosis,PT,21603356,montelukast,ATC 5th,444409,Papillary necrosis,Clinical Finding,1154161,montelukast,Ingredient,NC,NC2,N,V,NA
acute kidney injury,ibuprofen,36315599,Creatinine urine decreased,PT,21603967,ibuprofen,ATC 5th,NA,NA,NA,1177480,Ibuprofen,Ingredient,PC,PC1,P,II,B
acute kidney injury,quinine,36315599,Creatinine urine decreased,PT,21604897,quinine,ATC 5th,NA,NA,NA,1760616,Quinine,Ingredient,PC,PC2,P,II,A
acute kidney injury,cyproterone,36315599,Creatinine urine decreased,PT,21602615,cyproterone,ATC 5th,NA,NA,NA,19010792,Cyproterone,Ingredient,NC,NC2,N,V,NA
acute kidney injury,domperidone,36315599,Creatinine urine decreased,PT,21600486,domperidone,ATC 5th,NA,NA,NA,19037833,Domperidone,Ingredient,NC,NC2,N,V,NA
acute kidney injury,fluticasone,36315599,Creatinine urine decreased,PT,21603288,fluticasone,ATC 5th,NA,NA,NA,1149380,fluticasone,Ingredient,NC,NC2,N,V,NA
acute kidney injury,loperamide,36315599,Creatinine urine decreased,PT,21600646,loperamide,ATC 5th,NA,NA,NA,991876,Loperamide,Ingredient,NC,NC2,N,V,NA
acute kidney injury,mebendazole,36315599,Creatinine urine decreased,PT,21604941,mebendazole,ATC 5th,NA,NA,NA,1794280,Mebendazole,Ingredient,NC,NC2,N,V,NA
acute kidney injury,methylphenidate,36315599,Creatinine urine decreased,PT,21604757,methylphenidate,ATC 5th,NA,NA,NA,705944,Methylphenidate,Ingredient,NC,NC2,N,V,NA
acute kidney injury,montelukast,36315599,Creatinine urine decreased,PT,21603356,montelukast,ATC 5th,NA,NA,NA,1154161,montelukast,Ingredient,NC,NC2,N,V,NA
acute kidney injury,ibuprofen,36315594,Creatinine renal clearance abnormal,PT,21603967,ibuprofen,ATC 5th,4055802,Creatinine clearance-glomerular filtration abnormal,Clinical Finding,1177480,Ibuprofen,Ingredient,PC,PC1,P,II,B
acute kidney injury,quinine,36315594,Creatinine renal clearance abnormal,PT,21604897,quinine,ATC 5th,4055802,Creatinine clearance-glomerular filtration abnormal,Clinical Finding,1760616,Quinine,Ingredient,PC,PC2,P,II,A
acute kidney injury,cyproterone,36315594,Creatinine renal clearance abnormal,PT,21602615,cyproterone,ATC 5th,4055802,Creatinine clearance-glomerular filtration abnormal,Clinical Finding,19010792,Cyproterone,Ingredient,NC,NC2,N,V,NA
acute kidney injury,domperidone,36315594,Creatinine renal clearance abnormal,PT,21600486,domperidone,ATC 5th,4055802,Creatinine clearance-glomerular filtration abnormal,Clinical Finding,19037833,Domperidone,Ingredient,NC,NC2,N,V,NA
acute kidney injury,fluticasone,36315594,Creatinine renal clearance abnormal,PT,21603288,fluticasone,ATC 5th,4055802,Creatinine clearance-glomerular filtration abnormal,Clinical Finding,1149380,fluticasone,Ingredient,NC,NC2,N,V,NA
acute kidney injury,loperamide,36315594,Creatinine renal clearance abnormal,PT,21600646,loperamide,ATC 5th,4055802,Creatinine clearance-glomerular filtration abnormal,Clinical Finding,991876,Loperamide,Ingredient,NC,NC2,N,V,NA
acute kidney injury,mebendazole,36315594,Creatinine renal clearance abnormal,PT,21604941,mebendazole,ATC 5th,4055802,Creatinine clearance-glomerular filtration abnormal,Clinical Finding,1794280,Mebendazole,Ingredient,NC,NC2,N,V,NA
acute kidney injury,methylphenidate,36315594,Creatinine renal clearance abnormal,PT,21604757,methylphenidate,ATC 5th,4055802,Creatinine clearance-glomerular filtration abnormal,Clinical Finding,705944,Methylphenidate,Ingredient,NC,NC2,N,V,NA
acute kidney injury,montelukast,36315594,Creatinine renal clearance abnormal,PT,21603356,montelukast,ATC 5th,4055802,Creatinine clearance-glomerular filtration abnormal,Clinical Finding,1154161,montelukast,Ingredient,NC,NC2,N,V,NA
acute liver injury,clarithromycin,36313522,Alanine aminotransferase abnormal,PT,21602977,clarithromycin,ATC 5th,NA,NA,NA,1750500,Clarithromycin,Ingredient,PC,PC2,P,II,B
acute liver injury,flucloxacillin,36313522,Alanine aminotransferase abnormal,PT,21602857,flucloxacillin,ATC 5th,NA,NA,NA,19054936,Floxacillin,Ingredient,PC,PC2,P,II,A
acute liver injury,ibuprofen,36313522,Alanine aminotransferase abnormal,PT,21603967,ibuprofen,ATC 5th,NA,NA,NA,1177480,Ibuprofen,Ingredient,PC,PC2,P,II,A
acute liver injury,isoniazid,36313522,Alanine aminotransferase abnormal,PT,21603103,isoniazid,ATC 5th,NA,NA,NA,1782521,isoniazid,Ingredient,PC,PC2,P,I,B
acute liver injury,lopinavir,36313522,Alanine aminotransferase abnormal,PT,43534798,lopinavir and ritonavir,ATC 5th,NA,NA,NA,NA,NA,NA,PC,PC2,P,I,A
acute liver injury,mebendazole,36313522,Alanine aminotransferase abnormal,PT,21604941,mebendazole,ATC 5th,NA,NA,NA,1794280,Mebendazole,Ingredient,PC,PC2,P,I,B
acute liver injury,quinine,36313522,Alanine aminotransferase abnormal,PT,21604897,quinine,ATC 5th,NA,NA,NA,1760616,Quinine,Ingredient,PC,PC2,P,II,A
acute liver injury,domperidone,36313522,Alanine aminotransferase abnormal,PT,21600486,domperidone,ATC 5th,NA,NA,NA,19037833,Domperidone,Ingredient,NC,NC2,N,V,NA
acute liver injury,fluticasone,36313522,Alanine aminotransferase abnormal,PT,21603288,fluticasone,ATC 5th,NA,NA,NA,1149380,fluticasone,Ingredient,NC,NC2,N,V,NA
acute liver injury,loperamide,36313522,Alanine aminotransferase abnormal,PT,21600646,loperamide,ATC 5th,NA,NA,NA,991876,Loperamide,Ingredient,NC,NC2,N,V,NA
acute liver injury,clarithromycin,36313524,Alanine aminotransferase increased,PT,21602977,clarithromycin,ATC 5th,NA,NA,NA,1750500,Clarithromycin,Ingredient,PC,PC2,P,II,B
acute liver injury,flucloxacillin,36313524,Alanine aminotransferase increased,PT,21602857,flucloxacillin,ATC 5th,NA,NA,NA,19054936,Floxacillin,Ingredient,PC,PC2,P,II,A
acute liver injury,ibuprofen,36313524,Alanine aminotransferase increased,PT,21603967,ibuprofen,ATC 5th,NA,NA,NA,1177480,Ibuprofen,Ingredient,PC,PC2,P,II,A
acute liver injury,isoniazid,36313524,Alanine aminotransferase increased,PT,21603103,isoniazid,ATC 5th,NA,NA,NA,1782521,isoniazid,Ingredient,PC,PC2,P,I,B
acute liver injury,lopinavir,36313524,Alanine aminotransferase increased,PT,43534798,lopinavir and ritonavir,ATC 5th,NA,NA,NA,NA,NA,NA,PC,PC2,P,I,A
acute liver injury,mebendazole,36313524,Alanine aminotransferase increased,PT,21604941,mebendazole,ATC 5th,NA,NA,NA,1794280,Mebendazole,Ingredient,PC,PC2,P,I,B
acute liver injury,quinine,36313524,Alanine aminotransferase increased,PT,21604897,quinine,ATC 5th,NA,NA,NA,1760616,Quinine,Ingredient,PC,PC2,P,II,A
acute liver injury,domperidone,36313524,Alanine aminotransferase increased,PT,21600486,domperidone,ATC 5th,NA,NA,NA,19037833,Domperidone,Ingredient,NC,NC2,N,V,NA
acute liver injury,fluticasone,36313524,Alanine aminotransferase increased,PT,21603288,fluticasone,ATC 5th,NA,NA,NA,1149380,fluticasone,Ingredient,NC,NC2,N,V,NA
acute liver injury,loperamide,36313524,Alanine aminotransferase increased,PT,21600646,loperamide,ATC 5th,NA,NA,NA,991876,Loperamide,Ingredient,NC,NC2,N,V,NA
acute liver injury,clarithromycin,35909522,Biliary cirrhosis,PT,21602977,clarithromycin,ATC 5th,192675,Biliary cirrhosis,Clinical Finding,1750500,Clarithromycin,Ingredient,PC,PC2,P,II,B
acute liver injury,flucloxacillin,35909522,Biliary cirrhosis,PT,21602857,flucloxacillin,ATC 5th,192675,Biliary cirrhosis,Clinical Finding,19054936,Floxacillin,Ingredient,PC,PC2,P,II,A
acute liver injury,ibuprofen,35909522,Biliary cirrhosis,PT,21603967,ibuprofen,ATC 5th,192675,Biliary cirrhosis,Clinical Finding,1177480,Ibuprofen,Ingredient,PC,PC2,P,II,A
acute liver injury,isoniazid,35909522,Biliary cirrhosis,PT,21603103,isoniazid,ATC 5th,192675,Biliary cirrhosis,Clinical Finding,1782521,isoniazid,Ingredient,PC,PC2,P,I,B
acute liver injury,lopinavir,35909522,Biliary cirrhosis,PT,43534798,lopinavir and ritonavir,ATC 5th,192675,Biliary cirrhosis,Clinical Finding,NA,NA,NA,PC,PC2,P,I,A
acute liver injury,mebendazole,35909522,Biliary cirrhosis,PT,21604941,mebendazole,ATC 5th,192675,Biliary cirrhosis,Clinical Finding,1794280,Mebendazole,Ingredient,PC,PC2,P,I,B
acute liver injury,quinine,35909522,Biliary cirrhosis,PT,21604897,quinine,ATC 5th,192675,Biliary cirrhosis,Clinical Finding,1760616,Quinine,Ingredient,PC,PC2,P,II,A
acute liver injury,domperidone,35909522,Biliary cirrhosis,PT,21600486,domperidone,ATC 5th,192675,Biliary cirrhosis,Clinical Finding,19037833,Domperidone,Ingredient,NC,NC2,N,V,NA
acute liver injury,fluticasone,35909522,Biliary cirrhosis,PT,21603288,fluticasone,ATC 5th,192675,Biliary cirrhosis,Clinical Finding,1149380,fluticasone,Ingredient,NC,NC2,N,V,NA
acute liver injury,loperamide,35909522,Biliary cirrhosis,PT,21600646,loperamide,ATC 5th,192675,Biliary cirrhosis,Clinical Finding,991876,Loperamide,Ingredient,NC,NC2,N,V,NA
acute liver injury,clarithromycin,36313544,Bilirubin conjugated increased,PT,21602977,clarithromycin,ATC 5th,NA,NA,NA,1750500,Clarithromycin,Ingredient,PC,PC2,P,II,B
acute liver injury,flucloxacillin,36313544,Bilirubin conjugated increased,PT,21602857,flucloxacillin,ATC 5th,NA,NA,NA,19054936,Floxacillin,Ingredient,PC,PC2,P,II,A
acute liver injury,ibuprofen,36313544,Bilirubin conjugated increased,PT,21603967,ibuprofen,ATC 5th,NA,NA,NA,1177480,Ibuprofen,Ingredient,PC,PC2,P,II,A
acute liver injury,isoniazid,36313544,Bilirubin conjugated increased,PT,21603103,isoniazid,ATC 5th,NA,NA,NA,1782521,isoniazid,Ingredient,PC,PC2,P,I,B
acute liver injury,lopinavir,36313544,Bilirubin conjugated increased,PT,43534798,lopinavir and ritonavir,ATC 5th,NA,NA,NA,NA,NA,NA,PC,PC2,P,I,A
acute liver injury,mebendazole,36313544,Bilirubin conjugated increased,PT,21604941,mebendazole,ATC 5th,NA,NA,NA,1794280,Mebendazole,Ingredient,PC,PC2,P,I,B
acute liver injury,quinine,36313544,Bilirubin conjugated increased,PT,21604897,quinine,ATC 5th,NA,NA,NA,1760616,Quinine,Ingredient,PC,PC2,P,II,A
acute liver injury,domperidone,36313544,Bilirubin conjugated increased,PT,21600486,domperidone,ATC 5th,NA,NA,NA,19037833,Domperidone,Ingredient,NC,NC2,N,V,NA
acute liver injury,fluticasone,36313544,Bilirubin conjugated increased,PT,21603288,fluticasone,ATC 5th,NA,NA,NA,1149380,fluticasone,Ingredient,NC,NC2,N,V,NA
acute liver injury,loperamide,36313544,Bilirubin conjugated increased,PT,21600646,loperamide,ATC 5th,NA,NA,NA,991876,Loperamide,Ingredient,NC,NC2,N,V,NA
acute liver injury,clarithromycin,35909527,Hepatic cirrhosis,PT,21602977,clarithromycin,ATC 5th,4064161,Cirrhosis of liver,Clinical Finding,1750500,Clarithromycin,Ingredient,PC,PC2,P,II,B
acute liver injury,clarithromycin,35909527,Hepatic cirrhosis,PT,21602977,clarithromycin,ATC 5th,4059284,Cirrhosis and chronic liver disease,Clinical Finding,1750500,Clarithromycin,Ingredient,PC,PC2,P,II,B
acute liver injury,flucloxacillin,35909527,Hepatic cirrhosis,PT,21602857,flucloxacillin,ATC 5th,4064161,Cirrhosis of liver,Clinical Finding,19054936,Floxacillin,Ingredient,PC,PC2,P,II,A
acute liver injury,flucloxacillin,35909527,Hepatic cirrhosis,PT,21602857,flucloxacillin,ATC 5th,4059284,Cirrhosis and chronic liver disease,Clinical Finding,19054936,Floxacillin,Ingredient,PC,PC2,P,II,A
acute liver injury,ibuprofen,35909527,Hepatic cirrhosis,PT,21603967,ibuprofen,ATC 5th,4064161,Cirrhosis of liver,Clinical Finding,1177480,Ibuprofen,Ingredient,PC,PC2,P,II,A
acute liver injury,ibuprofen,35909527,Hepatic cirrhosis,PT,21603967,ibuprofen,ATC 5th,4059284,Cirrhosis and chronic liver disease,Clinical Finding,1177480,Ibuprofen,Ingredient,PC,PC2,P,II,A
acute liver injury,isoniazid,35909527,Hepatic cirrhosis,PT,21603103,isoniazid,ATC 5th,4064161,Cirrhosis of liver,Clinical Finding,1782521,isoniazid,Ingredient,PC,PC2,P,I,B
acute liver injury,isoniazid,35909527,Hepatic cirrhosis,PT,21603103,isoniazid,ATC 5th,4059284,Cirrhosis and chronic liver disease,Clinical Finding,1782521,isoniazid,Ingredient,PC,PC2,P,I,B
acute liver injury,lopinavir,35909527,Hepatic cirrhosis,PT,43534798,lopinavir and ritonavir,ATC 5th,4064161,Cirrhosis of liver,Clinical Finding,NA,NA,NA,PC,PC2,P,I,A
acute liver injury,lopinavir,35909527,Hepatic cirrhosis,PT,43534798,lopinavir and ritonavir,ATC 5th,4059284,Cirrhosis and chronic liver disease,Clinical Finding,NA,NA,NA,PC,PC2,P,I,A
acute liver injury,mebendazole,35909527,Hepatic cirrhosis,PT,21604941,mebendazole,ATC 5th,4064161,Cirrhosis of liver,Clinical Finding,1794280,Mebendazole,Ingredient,PC,PC2,P,I,B
acute liver injury,mebendazole,35909527,Hepatic cirrhosis,PT,21604941,mebendazole,ATC 5th,4059284,Cirrhosis and chronic liver disease,Clinical Finding,1794280,Mebendazole,Ingredient,PC,PC2,P,I,B
acute liver injury,quinine,35909527,Hepatic cirrhosis,PT,21604897,quinine,ATC 5th,4064161,Cirrhosis of liver,Clinical Finding,1760616,Quinine,Ingredient,PC,PC2,P,II,A
acute liver injury,quinine,35909527,Hepatic cirrhosis,PT,21604897,quinine,ATC 5th,4059284,Cirrhosis and chronic liver disease,Clinical Finding,1760616,Quinine,Ingredient,PC,PC2,P,II,A
acute liver injury,domperidone,35909527,Hepatic cirrhosis,PT,21600486,domperidone,ATC 5th,4064161,Cirrhosis of liver,Clinical Finding,19037833,Domperidone,Ingredient,NC,NC2,N,V,NA
acute liver injury,domperidone,35909527,Hepatic cirrhosis,PT,21600486,domperidone,ATC 5th,4059284,Cirrhosis and chronic liver disease,Clinical Finding,19037833,Domperidone,Ingredient,NC,NC2,N,V,NA
acute liver injury,fluticasone,35909527,Hepatic cirrhosis,PT,21603288,fluticasone,ATC 5th,4064161,Cirrhosis of liver,Clinical Finding,1149380,fluticasone,Ingredient,NC,NC2,N,V,NA
acute liver injury,fluticasone,35909527,Hepatic cirrhosis,PT,21603288,fluticasone,ATC 5th,4059284,Cirrhosis and chronic liver disease,Clinical Finding,1149380,fluticasone,Ingredient,NC,NC2,N,V,NA
acute liver injury,loperamide,35909527,Hepatic cirrhosis,PT,21600646,loperamide,ATC 5th,4064161,Cirrhosis of liver,Clinical Finding,991876,Loperamide,Ingredient,NC,NC2,N,V,NA
acute liver injury,loperamide,35909527,Hepatic cirrhosis,PT,21600646,loperamide,ATC 5th,4059284,Cirrhosis and chronic liver disease,Clinical Finding,991876,Loperamide,Ingredient,NC,NC2,N,V,NA
acute liver injury,clarithromycin,35909611,Hepatic necrosis,PT,21602977,clarithromycin,ATC 5th,4337543,Hepatic necrosis,Clinical Finding,1750500,Clarithromycin,Ingredient,PC,PC2,P,II,B
acute liver injury,clarithromycin,35909611,Hepatic necrosis,PT,21602977,clarithromycin,ATC 5th,201065,Acute and subacute liver necrosis,Clinical Finding,1750500,Clarithromycin,Ingredient,PC,PC2,P,II,B
acute liver injury,flucloxacillin,35909611,Hepatic necrosis,PT,21602857,flucloxacillin,ATC 5th,4337543,Hepatic necrosis,Clinical Finding,19054936,Floxacillin,Ingredient,PC,PC2,P,II,A
acute liver injury,flucloxacillin,35909611,Hepatic necrosis,PT,21602857,flucloxacillin,ATC 5th,201065,Acute and subacute liver necrosis,Clinical Finding,19054936,Floxacillin,Ingredient,PC,PC2,P,II,A
acute liver injury,ibuprofen,35909611,Hepatic necrosis,PT,21603967,ibuprofen,ATC 5th,4337543,Hepatic necrosis,Clinical Finding,1177480,Ibuprofen,Ingredient,PC,PC2,P,II,A
acute liver injury,ibuprofen,35909611,Hepatic necrosis,PT,21603967,ibuprofen,ATC 5th,201065,Acute and subacute liver necrosis,Clinical Finding,1177480,Ibuprofen,Ingredient,PC,PC2,P,II,A
acute liver injury,isoniazid,35909611,Hepatic necrosis,PT,21603103,isoniazid,ATC 5th,4337543,Hepatic necrosis,Clinical Finding,1782521,isoniazid,Ingredient,PC,PC2,P,I,B
acute liver injury,isoniazid,35909611,Hepatic necrosis,PT,21603103,isoniazid,ATC 5th,201065,Acute and subacute liver necrosis,Clinical Finding,1782521,isoniazid,Ingredient,PC,PC2,P,I,B
acute liver injury,lopinavir,35909611,Hepatic necrosis,PT,43534798,lopinavir and ritonavir,ATC 5th,4337543,Hepatic necrosis,Clinical Finding,NA,NA,NA,PC,PC2,P,I,A
acute liver injury,lopinavir,35909611,Hepatic necrosis,PT,43534798,lopinavir and ritonavir,ATC 5th,201065,Acute and subacute liver necrosis,Clinical Finding,NA,NA,NA,PC,PC2,P,I,A
